AAPL (APPLE INC),546.0255,-4.7445,
Dec 19 2013 @ 15:02 ET,Bid,545.97,Ask,546.09,Size,2x1,Vol,8897300,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Dec 290.00 (AAPL1321L290-X),236.00,0.0,254.10,257.10,0,0,13 Dec 290.00 (AAPL1321X290-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-Y),0.0,0.0,253.50,257.10,0,0,13 Dec 290.00 (AAPL1321X290-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295),230.68,0.0,249.15,251.85,0,0,13 Dec 295.00 (AAPL1321X295),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-4),0.0,0.0,249.10,252.10,0,0,13 Dec 295.00 (AAPL1321X295-4),0.0,0.0,0.0,0.27,0,0,
13 Dec 295.00 (AAPL1321L295-8),230.68,0.0,248.55,252.10,0,0,13 Dec 295.00 (AAPL1321X295-8),0.0,0.0,0.0,0.12,0,0,
13 Dec 295.00 (AAPL1321L295-A),0.0,0.0,248.55,252.25,0,0,13 Dec 295.00 (AAPL1321X295-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-B),0.0,0.0,248.55,252.45,0,0,13 Dec 295.00 (AAPL1321X295-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-E),0.0,0.0,248.50,252.35,0,0,13 Dec 295.00 (AAPL1321X295-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-I),0.0,0.0,249.10,252.15,0,0,13 Dec 295.00 (AAPL1321X295-I),0.0,0.0,0.0,0.14,0,0,
13 Dec 295.00 (AAPL1321L295-J),0.0,0.0,249.15,251.85,0,0,13 Dec 295.00 (AAPL1321X295-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-O),0.0,0.0,248.50,252.10,0,0,13 Dec 295.00 (AAPL1321X295-O),0.0,0.0,0.0,0.15,0,0,
13 Dec 295.00 (AAPL1321L295-P),0.0,0.0,248.55,252.10,0,0,13 Dec 295.00 (AAPL1321X295-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-S),0.0,0.0,249.10,252.10,0,0,13 Dec 295.00 (AAPL1321X295-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-X),0.0,0.0,248.55,252.10,0,0,13 Dec 295.00 (AAPL1321X295-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 295.00 (AAPL1321L295-Y),0.0,0.0,248.50,252.10,0,0,13 Dec 295.00 (AAPL1321X295-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 300.00 (AAPL1321L300),245.18,+1.69,244.20,246.80,14,313,13 Dec 300.00 (AAPL1321X300),0.01,0.0,0.0,0.01,0,80,
13 Dec 300.00 (AAPL1321L300-4),156.75,0.0,244.15,247.10,0,313,13 Dec 300.00 (AAPL1321X300-4),0.0,0.0,0.0,0.25,0,80,
13 Dec 300.00 (AAPL1321L300-8),243.49,0.0,243.70,247.10,0,313,13 Dec 300.00 (AAPL1321X300-8),0.02,0.0,0.0,0.12,0,80,
13 Dec 300.00 (AAPL1321L300-A),217.98,0.0,243.70,247.10,0,313,13 Dec 300.00 (AAPL1321X300-A),0.04,0.0,0.0,0.05,0,80,
13 Dec 300.00 (AAPL1321L300-B),0.0,0.0,243.55,247.45,0,313,13 Dec 300.00 (AAPL1321X300-B),0.0,0.0,0.0,0.05,0,80,
13 Dec 300.00 (AAPL1321L300-E),245.18,+24.53,244.20,247.10,14,313,13 Dec 300.00 (AAPL1321X300-E),0.02,0.0,0.0,0.12,0,80,
13 Dec 300.00 (AAPL1321L300-I),221.70,0.0,244.15,247.10,0,313,13 Dec 300.00 (AAPL1321X300-I),0.0,0.0,0.0,0.14,0,80,
13 Dec 300.00 (AAPL1321L300-J),220.65,0.0,244.20,246.80,0,313,13 Dec 300.00 (AAPL1321X300-J),0.04,0.0,0.0,0.25,0,80,
13 Dec 300.00 (AAPL1321L300-O),221.80,0.0,243.55,247.10,0,313,13 Dec 300.00 (AAPL1321X300-O),0.02,0.0,0.0,0.38,0,80,
13 Dec 300.00 (AAPL1321L300-P),218.08,0.0,243.90,247.10,0,313,13 Dec 300.00 (AAPL1321X300-P),0.01,0.0,0.0,0.01,0,80,
13 Dec 300.00 (AAPL1321L300-S),223.90,0.0,244.15,247.10,0,313,13 Dec 300.00 (AAPL1321X300-S),0.05,0.0,0.0,0.05,0,80,
13 Dec 300.00 (AAPL1321L300-X),217.58,0.0,243.65,247.10,0,313,13 Dec 300.00 (AAPL1321X300-X),0.03,0.0,0.0,0.12,0,80,
